codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo_desenvolvimento,tipo_fundos,tipo_papel,tipo_tijolo
XPSF11,Outros,7.1,112249.0,0.99,10.7,0.82,4.4,0,1,0,0
MGFF11,Títulos e Val. Mob.,58.8,39212.0,0.95,9.91,0.77,4.3,0,1,0,0
BCFF11,Títulos e Val. Mob.,63.39,32102.0,0.85,8.78,0.81,4.3,0,1,0,0
RBRF11,Títulos e Val. Mob.,67.91,22943.0,0.83,9.65,0.81,4.2,0,1,0,0
HFOF11,Títulos e Val. Mob.,70.01,14462.0,0.86,9.06,0.84,4.3,0,1,0,0
HGFF11,Títulos e Val. Mob.,71.21,8490.0,0.87,9.23,0.8,4.2,0,1,0,0
BCIA11,Títulos e Val. Mob.,82.92,5063.0,0.89,9.42,0.79,4.1,0,1,0,0
