codigo,score,tipo
VCJR11,4.3,fundo de papel
KNIP11,4.3,fundo de papel
HREC11,4.3,fundo de papel
HGCR11,4.3,fundo de papel
VGIR11,4.2,fundo de papel
UBSR11,4.2,fundo de papel
RZAK11,4.2,fundo de papel
RRCI11,4.2,fundo de papel
RBHG11,4.2,fundo de papel
GCRI11,4.2,fundo de papel
CACR11,4.2,fundo de papel
BCRI11,4.2,fundo de papel
SNCI11,4.1,fundo de papel
RBRR11,4.1,fundo de papel
RBIV11,4.1,fundo de papel
KNHY11,4.1,fundo de papel
KNCR11,4.1,fundo de papel
CVBI11,4.1,fundo de papel
XPCI11,4.0,fundo de papel
PORD11,4.0,fundo de papel
MCHY11,4.0,fundo de papel
HABT11,4.0,fundo de papel
VGIP11,3.9,fundo de papel
OUJP11,3.9,fundo de papel
HBTT11,3.9,fundo de papel
FEXC11,3.9,fundo de papel
TORD11,3.8,fundo de papel
MCCI11,3.8,fundo de papel
FLCR11,3.8,fundo de papel
GAME11,3.7,fundo de papel
BARI11,3.7,fundo de papel
AFCR11,3.7,fundo de papel
RBHY11,3.6,fundo de papel
OURE11,3.6,fundo de papel
MGCR11,3.6,fundo de papel
ARRI11,3.5,fundo de papel
EQIN11,3.4,fundo de papel
PLRI11,3.1,fundo de papel
VIFI11,3.0,fundo de papel
BICR11,3.0,fundo de papel
RBRY11,2.8,fundo de papel
PLCR11,2.8,fundo de papel
BTCR11,2.8,fundo de papel
SADI11,2.3,fundo de papel
RNDP11,2.3,fundo de papel
VOTS11,1.9,fundo de papel
RBVO11,1.8,fundo de papel
RDPD11,1.0,fundo de papel
RBCB11,1.0,fundo de papel
ORPD11,1.0,fundo de papel
SRVD11,0,fundo de papel
QIRI11,0,fundo de papel
QAMI11,0,fundo de papel
NCHB11,0,fundo de papel
MORC11,0,fundo de papel
MATV11,0,fundo de papel
JSAF11,0,fundo de papel
JPPA11,0,fundo de papel
IBCR11,0,fundo de papel
HSAF11,0,fundo de papel
HGIC11,0,fundo de papel
HCHG11,0,fundo de papel
EQIR11,0,fundo de papel
CYCR11,0,fundo de papel
CCRF11,0,fundo de papel
BLMC11,0,fundo de papel
BBIM11,0,fundo de papel
XPSF11,4.4,fundo de fundos
MGFF11,4.3,fundo de fundos
HFOF11,4.3,fundo de fundos
BCFF11,4.3,fundo de fundos
RBRF11,4.2,fundo de fundos
HGFF11,4.2,fundo de fundos
BCIA11,4.1,fundo de fundos
BPFF11,4.0,fundo de fundos
SNFF11,3.8,fundo de fundos
RBFF11,3.7,fundo de fundos
BBFO11,3.7,fundo de fundos
CXRI11,3.6,fundo de fundos
OUFF11,3.5,fundo de fundos
KFOF11,3.5,fundo de fundos
BLMR11,3.5,fundo de fundos
RFOF11,3.3,fundo de fundos
MORE11,3.3,fundo de fundos
MFAI11,3.3,fundo de fundos
IFIE11,3.3,fundo de fundos
