codigo,setor,preco,liquidez,dividend_yield,dividend_yield_12,P/VPA,score,tipo
HCTR11,Outros,"R$ 113,55",50885.0,"1,54%","15,62%","0,94",4.4,fundo de papel
KNCR11,Títulos e Val. Mob.,"R$ 101,96",54797.0,"1,03%","9,28%","1,01",4.1,fundo de papel
CPTS11,Títulos e Val. Mob.,"R$ 90,84",68768.0,"1,19%","12,95%","0,97",4.5,fundo de papel
IRDM11,Títulos e Val. Mob.,"R$ 101,90",72372.0,"1,28%","12,95%","1,05",4.6,fundo de papel
RECR11,Títulos e Val. Mob.,"R$ 100,00",78913.0,"1,69%","14,76%","1,05",4.6,fundo de papel
URPR11,Outros,"R$ 112,00",99111.0,"1,65%","18,35%","1,08",4.6,fundo de papel
VSLH11,Outros,"R$ 9,14",99564.0,"1,29%","15,01%","0,88",4.3,fundo de papel
XPSF11,Outros,"R$ 7,10",112249.0,"0,99%","10,70%","0,82",4.4,fundo de fundos
KNIP11,Títulos e Val. Mob.,"R$ 101,19",176181.0,"1,48%","16,01%","1,04",4.3,fundo de papel
VGHF11,Títulos e Val. Mob.,"R$ 10,02",387815.0,"1,30%","16,97%","1,07",4.7,fundo de papel
MXRF11,Híbrido,"R$ 9,68",623461.0,"1,03%","11,18%","0,95",4.4,fundo de papel
